character,actor,type,gender
Michael Scott,Steve Carell,Main,male
Dwight Schrute,Rainn Wilson,Main,male
Jim Halpert,John Krasinski,Main,male
Pam Beesly,Jenna Fischer,Main,female
Ryan Howard,B. J. Novak,Main,male
Andy Bernard,Ed Helms,Main,male
Robert California,James Spader,Main,male
Stanley Hudson,Leslie David Baker,Recurring,male
Kevin Malone,Brian Baumgartner,Recurring,male
Meredith Palmer,Kate Flannery,Recurring,female
Angela Martin,Angela Kinsey,Recurring,female
Oscar Martinez,Oscar Nunez,Recurring,male
Phyllis Lapin,Phyllis Smith,Recurring,female
Roy Anderson,David Denman,Recurring,male
Jan Levinson,Melora Hardin,Recurring,female
Kelly Kapoor,Mindy Kaling,Recurring,female
Toby Flenderson,Paul Lieberstein,Recurring,male
Creed Bratton,Creed Bratton,Recurring,male
Darryl Philbin,Craig Robinson,Recurring,male
Erin Hannon,Ellie Kemper,Recurring,female
Gabe Lewis,Zach Woods,Recurring,male
Holly Flax,Amy Ryan,Recurring,female
Nellie Bertram,Catherine Tate,Guest,female
Clark Green,Clark Duke,Starring,male
Pete Miller,Jake Lacy,Starring,male
